!SIL	SIL
हमले	h a m l ee
हमलों	h a m l o q
हमलोग	h a m l o g
हमलोगों	h a m l o g o q
हमसफर	h a m a s ph a r
हमसे	h a m s ee
हमारा	h a m aa r aa
हमारिा	h a m aa r i aa
हमारिे	h a m aa r i ee
हमारी	h a m aa r ii
हमारे	h a m aa r ee
हमे	h a m ee
हमें	h a m ee q
हमेशा	h a m ee sh aa
हम्मा	h a m m aa
हर	h a r
हरकत	h a r k a t
हरकतों	h a r k a t o q
हरगिज	h a r g i j
हरजीत	h a r j ii t
हरदा	h a r d aa
हरप्रकाश	h a r a p r a k aa sh
हरभजन	h a r a bh j a n
हरमनप्रीत	h a r a m n a p r ii t
हरसंभव	h a r s a q bh a w
हरा	h a r aa
हराकर	h a r aa k a r
हराने	h a r aa n ee
हराया	h a r aa y aa
हरि	h a r i
हरिजन	h a r i j a n
हरित	h a r i t
हरिद्वार	h a r i d w aa r
हरियाणवी	h a r i y aa nx w ii
हरियाणा	h a r i y aa nx aa
हरियाली	h a r i y aa l ii
हरी	h a r ii
हरीज	h a r ii j
हरीश	h a r ii sh
हरे	h a r ee
हरेंद्र	h a r ee q d r
हर्ज	h a r j
हर्जाना	h a r j aa n aa
हर्ट	h a r tx
हर्मित	h a r m i t
हर्ष	h a r sx
हर्सल	h a r s a l
हल	h a l
हलचल	h a l c a l
हलफनामे	h a l ph a n aa m ee
हलवा	h a l w aa
हले	h a l ee
हल्का	h a l k aa
हल्के	h a l k ee
हल्ला	h a l l aa
हवलदार	h a w l a d aa r
हवलदारपदों	h a w l a d aa r p a d o q
हवा	h a w aa
हवाइ	h a w aa i
हवाई	h a w aa ii
हवाला	h a w aa l aa
हवाले	h a w aa l ee
हवास	h a w aa s
हसन	h a s a n
हसबेंड	h a s b ee q dx
हसमुख	h a s m u kh
हसीनों	h a s ii n o q
हस्त	h a s t
हस्तउ	h a s t u
हस्तउद्योगों	h a s t u d y o g o q
हस्तकौशल	h a s t a k ou sh a l
हस्तक्षेत्र	h a s t a k sx ee t r
हस्तक्षेप	h a s t a k sx ee p
हस्तक्षेपों	h a s t a k sx ee p o q
हस्तशिल्प	h a s t a sh i l p
हस्तांतरण	h a s t aa q t a r a nx
हस्तांतरित	h a s t aa q t a r i t
हस्ताक्षर	h a s t aa k sx a r
हस्तियां	h a s t i y aa q
हस्तियों	h a s t i y o q
हस्ती	h a s t ii
हस्से	h a s s ee
हह	h a h
हहई	h a h ii
हहै	h a h ei
ह़ार	h aa r
हाँ	h aa mq
हां	h aa q
हांग	h aa q g
हांगकांग	h aa q g a k aa q g
हांगझाऊ	h aa q g a jh aa uu
हाइक	h aa i k
हाइकोर्ट	h aa i k o r tx
हाइट	h aa i tx
हाइड्रोजन	h aa i dx r o j a n
हाइवे	h aa i w ee
हाई	h aa ii
हाईकोर्ट	h aa ii k o r tx
हाईजैक	h aa ii j ei k
हाईट	h aa ii tx
हाईटेक	h aa ii tx ee k
हाईस्पीड	h aa ii s p ii dx
हाउस	h aa u s
हाउसिंग	h aa u s i q g
हाकी	h aa k ii
हाकीप्रेमियों	h aa k ii p r ee m i y o q
हाजिर	h aa j i r
हाथ	h aa th
हाथह्यह्य	h aa th a h y a h y
हाथी	h aa th ii
हाथों	h aa th o q
हादफज	h aa d ph a j
हादसा	h aa d s aa
हादसे	h aa d s ee
हादसों	h aa d s o q
हानि	h aa n i
हापुड़	h aa p u dxq
हाफ	h aa ph
हाफिज	h aa ph i j
हाफ्फमैन	h aa ph ph m ei n
हाबी	h aa b ii
हाबीज	h aa b ii j
हामिद	h aa m i d
हामी	h aa m ii
हायड्रो	h aa y a dx r o
हायर	h aa y a r
हायरिंग	h aa y r i q g
हार	h aa r
हारकर	h aa r k a r
हारने	h aa r n ee
हाराष्ट्र	h aa r aa sx tx r
हारिज	h aa r i j
हारिफ	h aa r i ph
हारी	h aa r ii
हारीं	h aa r ii q
हार्ट	h aa r tx
हार्ड	h aa r dx
हार्डवेयर	h aa r dx a w ee y a r
हार्दिक	h aa r d i k
हार्वर्ड	h aa r w a r dx
हार्वेस्ट	h aa r w ee s tx
हार्वेस्टर	h aa r w ee s tx a r
हार्वेस्टिंग	h aa r w ee s tx i q g
हाल	h aa l
हालत	h aa l a t
हालांक	h aa l aa q k
हालांकि	h aa l aa q k i
हालांकी	h aa l aa q k ii
हालांदक	h aa l aa q d a k
हालात	h aa l aa t
हालिया	h aa l i y aa
हावड़ा	h aa w dxq aa
हाविज	h aa w i j
हावी	h aa w ii
हावड़ा	h aa w dxq aa
हासन	h aa s a n
हासिल	h aa s i l
हास्यास्पद	h aa s y aa s p a d
हाहाकार	h aa h aa k aa r
हिंद	h i q d
हिंदी	h i q d ii
हिंदुओ	h i q d u o
हिंदुओं	h i q d u o q
हिंदुस्तान	h i q d u s t aa n
हिंदुस्तानी	h i q d u s t aa n ii
हिंदू	h i q d uu
हिंसक	h i q s a k
हिंसा	h i q s aa
हिंसात्मक	h i q s aa t m a k
हिंसापूर्ण	h i q s aa p uu r nx
हिचकता	h i c a k t aa
हिचकते	h i c a k t ee
हिचकें	h i c k ee q
हिचकेगा	h i c k ee g aa
हिचकेगी	h i c k ee g ii
हिजाब	h i j aa b
हिट	h i tx
हित	h i t
हितों	h i t o q
हिदायत	h i d aa y a t
हिना	h i n aa
हिन्दी	h i n d ii
हिन्दू	h i n d uu
हिप	h i p
हिपेटाइटिस	h i p ee tx aa i tx i s
हिफ़ाज़त	h i f aa z a t
हिब्रू	h i b r uu
हिमंत	h i m a q t
हिमंता	h i m a q t aa
हिमखंड	h i m kh a q dx
हिमखंडों	h i m kh a q dx o q
हिमनद	h i m n a d
हिमपात	h i m p aa t
हिमयुग	h i m y u g
हिमाचल	h i m aa c a l
हिमाच्छादित	h i m aa c ch aa d i t
हिमायती	h i m aa y t ii
हिमालय	h i m aa l a y
हिमालयन	h i m aa l y a n
हिमालयी	h i m aa l y ii
हिम्मत	h i m m a t
हिरवानी	h i r w aa n ii
हिरासत	h i r aa s a t
हिरो	h i r o
हिला	h i l aa
हिलाकर	h i l aa k a r
हिलेरी	h i l ee r ii
हिलोर	h i l o r
हिलोरे	h i l o r ee
हिल्स	h i l s
हिसवत	h i s w a t
हिसाब	h i s aa b
हिस्ट्री	h i s tx r ii
हिस्सा	h i s s aa
हिस्से	h i s s ee
हिस्सेआम	h i s s ee aa m
हिस्सेदार	h i s s ee d aa r
हिस्सेदारी	h i s s ee d aa r ii
हिस्सों	h i s s o q
ही	h ii
हीं	h ii q
हीट	h ii tx
हीन	h ii n
हीनभावना	h ii n bh aa w n aa
हीना	h ii n aa
हीरो	h ii r o
हीलाहवाली	h ii l aa h w aa l ii
हीलियम	h ii l i y a m
हीलिस	h ii l i s
हील्स	h ii l s
हु	h u
हुँ	h u mq
हुंडई	h u q dx ii
हुआ	h u aa
हुई	h u ii
हुईं	h u ii q
हुए	h u ee
हुएइससे	h u ee i s s ee
हुओं	h u o q
हुकूमत	h u k uu m a t
हुनर	h u n a r
हुनरमंद	h u n a r m a q d
हुमा	h u m aa
हुये	h u y ee
हुर	h u r
हुरीयत	h u r ii y a t
हुर्इ	h u r i
हुर्इं	h u r i q
हुल	h u l
हुवा	h u w aa
हुवे	h u w ee
हुसरी	h u s r ii
हुसैन	h u s ei n
हू	h uu
हूँ	h uu mq
हूं	h uu q
हूटर	h uu tx a r
हृदय	h rq d a y
हॅावी	h ae aa w ii
हॅू	h ae uu
हे	h ee
हेंडल	h ee q dx a l
हेक्टेयर	h ee k tx ee y a r
हेग	h ee g
हेट	h ee tx
हेठी	h ee txh ii
हेड	h ee dx
हेडक्वार्टर	h ee dx a k w aa r tx a r
हेडली	h ee dx l ii
हेडसेट	h ee dx s ee tx
हेतु	h ee t u
हेमंत	h ee m a q t
हेमा	h ee m aa
हेयर	h ee y a r
हेराथ	h ee r aa th
हेराफेरी	h ee r aa ph ee r ii
हेलमंड	h ee l m a q dx
हेलमेट	h ee l m ee tx
हेलीकॉप्टर	h ee l ii k ax p tx a r
हेलीपैड	h ee l ii p ei dx
हेलो	h ee l o
हेल्थ	h ee l th
हेल्दी	h ee l d ii
हेल्पर	h ee l p a r
हेल्फर	h ee l ph a r
है	h ei
हैं	h ei q
हैंअध्ययन	h ei q a dh y a y a n
हैंअप्रैल	h ei q a p r ei l
हैंअभी	h ei q a bh ii
हैंआ	h ei q aa
हैंआगामी	h ei q aa g aa m ii
हैंआप	h ei q aa p
हैंआयु	h ei q aa y u
हैंआर्थिक	h ei q aa r th i k
हैंइस	h ei q i s
हैंएकएक	h ei q ee k ee k
हैंकई	h ei q k ii
हैंक्योंकि	h ei q k y o q k i
हैंजब	h ei q j a b
हैंजबकि	h ei q j a b k i
हैंजिन्हें	h ei q j i n h ee q
हैंजो	h ei q j o
हैंट्रेन	h ei q tx r ee n
हैंड	h ei q dx
हैंडओवर	h ei q dx o w a r
हैंडबुक	h ei q dx a b u k
हैंडल	h ei q dx a l
हैंडलरिों	h ei q dx a l a r i o q
हैंडलरों	h ei q dx a l a r o q
हैंडलूम	h ei q dx a l uu m
हैंडसेट	h ei q dx a s ee tx
हैंडेटा	h ei q dx ee tx aa
हैंतब्बू	h ei q t a b b uu
हैंताइवान	h ei q t aa i w aa n
हैंथर्ड	h ei q th a r dx
हैंदिल्ली	h ei q d i l l ii
हैंदोनों	h ei q d o n o q
हैंपर	h ei q p a r
हैंमाइकल	h ei q m aa i k a l
हैंमैं	h ei q m ei q
हैंलेकिन	h ei q l ee k i n
हैंवित्त	h ei q w i t t
हैंवीरेंद्र	h ei q w ii r ee q d r
हैंसंयुक्त	h ei q s a q y u k t
हैंसमुन्द्र	h ei q s a m u n d r
हैंहिलेरी	h ei q h i l ee r ii
हैअगर	h ei a g a r
हैअब	h ei a b
हैआई	h ei aa ii
हैआज	h ei aa j
हैआठ	h ei aa txh
हैआतंकी	h ei aa t a q k ii
हैआपको	h ei aa p k o
हैआयु	h ei aa y u
हैआर	h ei aa r
हैआवेदन	h ei aa w ee d a n
हैइसके	h ei i s k ee
हैइसमें	h ei i s m ee q
हैइसी	h ei i s ii
हैईपी	h ei ii p ii
हैउन्हें	h ei u n h ee q
हैउन्होंने	h ei u n h o q n ee
हैउसी	h ei u s ii
हैएंडरसन	h ei ee q dx a r a s a n
हैओ	h ei o
हैक	h ei k
हैकरगिल	h ei k r a g i l
हैकर्स	h ei k a r s
हैकांग्रेस	h ei k aa q g r ee s
हैकि	h ei k i
हैकिंग	h ei k i q g
हैकेंद्रीय	h ei k ee q d r ii y
हैगौरतलब	h ei g ou r t a l a b
हैजबकि	h ei j a b k i
हैजा	h ei j aa
हैजियो	h ei j i y o
हैजेएसएससी	h ei j ee ee s ee s s ii
हैजो	h ei j o
हैट	h ei tx
हैटू	h ei tx uu
हैटेजडाइन	h ei tx ee j dx aa i n
हैडमास्टरों	h ei dx m aa s tx a r o q
हैतमिल	h ei t m i l
हैतीस	h ei t ii s
हैथियटेर	h ei th i y tx ee r
हैदराबा	h ei d r aa b aa
हैदराबाद	h ei d r aa b aa d
हैदेखा	h ei d ee kh aa
हैपद	h ei p a d
हैपश्चिम	h ei p a sh c i m
हैपी	h ei p ii
हैपुलिस	h ei p u l i s
हैप्पी	h ei p p ii
हैफिलहाल	h ei ph i l h aa l
हैब	h ei b
हैबता	h ei b t aa
हैब्रिटिश	h ei b r i tx i sh
हैब्रिस्बेन	h ei b r i s b ee n
हैभारत	h ei bh aa r a t
हैमगर	h ei m g a r
हैमनु	h ei m n u
हैमाह	h ei m aa h
हैमिल्टन	h ei m i l tx a n
हैयरी	h ei y r ii
हैयह	h ei y a h
हैया	h ei y aa
हैयू.पी	h ei y uu p ii
हैरा	h ei r aa
हैरान	h ei r aa n
हैरानी	h ei r aa n ii
हैरी	h ei r ii
हैरीज	h ei r ii j
हैलेकिन	h ei l ee k i n
हैलेनोवो	h ei l ee n o w o
हैलो	h ei l o
हैव	h ei w
हैवर्तमान	h ei w a r t a m aa n
हैवह	h ei w a h
हैवहीं	h ei w h ii q
हैवान	h ei w aa n
हैवास्तविक	h ei w aa s t a w i k
हैविकासशील	h ei w i k aa s sh ii l
हैवी	h ei w ii
हैवैसे	h ei w ei s ee
हैवो	h ei w o
हैश	h ei sh
हैसाथ	h ei s aa th
हैसाल	h ei s aa l
हैसियत	h ei s i y a t
हैस्वामी	h ei s w aa m ii
हैहम	h ei h a m
है़	h ei
हैैरी	h ei ei r ii
हॉकी	h ax k ii
हॉज	h ax j
हॉट	h ax tx
हॉट्	h ax tx
हॉप	h ax p
हॉबी	h ax b ii
हॉबीज	h ax b ii j
हॉरर	h ax r a r
हॉर्न	h ax r n
हॉल	h ax l
हॉलीवुड	h ax l ii w u dx
हॉवर्ड	h ax w a r dx
हॉस्टल	h ax s tx a l
हॉस्पीटल	h ax s p ii tx a l
हो	h o
हों	h o q
होंग	h o q g
होंगी	h o q g ii
होंगे	h o q g ee
होंगेजिनमें	h o q g ee j i n m ee q
होकर	h o k a r
होकरि	h o k r i
होग	h o g
होगरीबों	h o g r ii b o q
होगा	h o g aa
होगी	h o g ii
होगीआगे	h o g ii aa g ee
होगीबता	h o g ii b t aa
होटल	h o tx a l
होटेल	h o tx ee l
होता	h o t aa
होती	h o t ii
होतीं	h o t ii q
होते	h o t ee
होतो	h o t o
होनहार	h o n h aa r
होना	h o n aa
होनी	h o n ii
होने	h o n ee
होनेकी	h o n ee k ii
होनो	h o n o
होप	h o p
होबर्ट	h o b a r tx
होबी	h o b ii
होम	h o m
होमगार्ड	h o m g aa r dx
होमग्राउंड	h o m a g r aa u q dx
होमपेज	h o m p ee j
होम्योपैथी	h o m y o p ei th ii
होम्स	h o m s
होरलर	h o r l a r
होर्डिंग	h o r dx i q g
होलिवुड	h o l i w u dx
होली	h o l ii
होलीवुड	h o l ii w u dx
होलोग्राफिक	h o l o g r aa ph i k
होलोसीन	h o l o s ii n
होल्ड	h o l dx
होश	h o sh
होशियार	h o sh i y aa r
